text,dimension_model,dimensions,scores,delta
The amount of information that I process in a typical day is just about right for me.,DeepSeek-V3.2,"['Occupational', 'Intellectual', 'Financial']","[0.2711349427700043, 0.26402756571769714, 0.23621249198913574]",0.05
I feel as if I've done everything there is to do in life.,DeepSeek-V3.2,"['Emotional', 'Occupational']","[0.38531649112701416, 0.3724839985370636]",0.05
I sometimes feel as if I haven't accomplished much in my life.,DeepSeek-V3.2,['Occupational'],[0.4118843078613281],0.05
"When I am in need, my family is there for me.",DeepSeek-V3.2,['Financial'],[0.3728865385055542],0.05
I am usually happy to be with my family.,DeepSeek-V3.2,"['Social', 'Emotional', 'Occupational']","[0.3168998658657074, 0.28321605920791626, 0.27628082036972046]",0.05
I have not always had friends with whom I could share my joys and sorrows.,DeepSeek-V3.2,['Social'],[0.4224819540977478],0.05
I typically find intellectual challenges to be vital to my overall well-being.,DeepSeek-V3.2,['Intellectual'],[0.60078364610672],0.05
"In the past, I usually find intellectual challenges to be vital to my overall well-being.",DeepSeek-V3.2,['Intellectual'],[0.5857309699058533],0.05
"In the past, I have found intellectual challenges to be vital to my overall well-being.",DeepSeek-V3.2,['Intellectual'],[0.5752760767936707],0.05
I have found intellectual challenges to be vital to my overall well-being.,DeepSeek-V3.2,['Intellectual'],[0.5905944108963013],0.05
I enjoy taking an intellectual challenge for a number of reasons and enjoy taking time to think about my own self and others.,DeepSeek-V3.2,['Intellectual'],[0.5669487118721008],0.05
I feel sad and lonely being alone,DeepSeek-V3.2,['Emotional'],[0.3130755126476288],0.05
"I feel tired, sleepless, and lonely.",DeepSeek-V3.2,"['Physical', 'Emotional']","[0.2686272859573364, 0.22896426916122437]",0.05
I try to achieve my goals.,DeepSeek-V3.2,"['Financial', 'Intellectual']","[0.35211777687072754, 0.34982794523239136]",0.05
In many ways I feel frustrated about my achievements in life.,DeepSeek-V3.2,"['Intellectual', 'Occupational', 'Emotional']","[0.3551863431930542, 0.3507295250892639, 0.3310924768447876]",0.05
The amount of stress I feel in my life is quite normal.,DeepSeek-V3.2,['Emotional'],[0.37660810351371765],0.05
"In the past, I have received the best.",DeepSeek-V3.2,['Social'],[0.1742006242275238],0.05
I tend to feel insecure about my abilities and I have difficulty being loved by others.,DeepSeek-V3.2,"['Social', 'Emotional']","[0.35519084334373474, 0.33431437611579895]",0.05
I feel lonely,DeepSeek-V3.2,"['Social', 'Emotional']","[0.27215689420700073, 0.2396419793367386]",0.05
I feel cynical about my skills.,DeepSeek-V3.2,['Intellectual'],[0.3986935615539551],0.05
I have problems in my personal relationships.,DeepSeek-V3.2,['Social'],[0.4274158179759979],0.05
I know my family and friends will always love me and will be there for me if I need them.,DeepSeek-V3.2,"['Social', 'Emotional', 'Financial']","[0.2696337401866913, 0.23319685459136963, 0.22623716294765472]",0.05
I find that being alone can make me feel bad.,DeepSeek-V3.2,"['Emotional', 'Social']","[0.34988000988960266, 0.3284960091114044]",0.05
I never feel comfortable sharing my family life with others.,DeepSeek-V3.2,['Social'],[0.3953282833099365],0.05
I am not satisfied with my relationships with my family or friends.,DeepSeek-V3.2,['Social'],[0.40024057030677795],0.05
I try to see the funny side of things.,DeepSeek-V3.2,"['Emotional', 'Intellectual', 'Social']","[0.1677076369524002, 0.15352179110050201, 0.14711466431617737]",0.05
I think most problems that I encounter are related to a person who is self-centered.,DeepSeek-V3.2,"['Social', 'Emotional', 'Intellectual']","[0.3599916696548462, 0.32742083072662354, 0.31112155318260193]",0.05
I try to see the positive side of things when faced with challenges.,DeepSeek-V3.2,"['Spiritual', 'Emotional', 'Intellectual']","[0.2832967936992645, 0.28109389543533325, 0.2630792260169983]",0.05
I always look on the bright side of things when I am faced with problems.,DeepSeek-V3.2,['Emotional'],[0.2809372842311859],0.05
I sometimes feel as if I have done all there is to do in life.,DeepSeek-V3.2,"['Emotional', 'Occupational']","[0.36383703351020813, 0.35318008065223694]",0.05
"I feel as if I've done all there is to do in life and this is a negative thought, as my own personal experiences have",DeepSeek-V3.2,"['Emotional', 'Occupational']","[0.3687107563018799, 0.3368675410747528]",0.05
I think I might be in an 'ok place'.,DeepSeek-V3.2,['Environmental'],[0.33872124552726746],0.05
I feel like I've never accomplished anything.,DeepSeek-V3.2,['Occupational'],[0.32300376892089844],0.05
I am able to handle the demands of everyday life.,DeepSeek-V3.2,"['Financial', 'Occupational']","[0.4013359546661377, 0.36208730936050415]",0.05
"I am capable of managing unpleasant or painful feelings like sadness, fear, and anger.",DeepSeek-V3.2,['Emotional'],[0.5889760851860046],0.05
I am comfortable being alone.,DeepSeek-V3.2,"['Social', 'Environmental', 'Emotional']","[0.3375018835067749, 0.3107823133468628, 0.29430335760116577]",0.05
I believe that life has a purpose.,DeepSeek-V3.2,"['Spiritual', 'Intellectual']","[0.2996576428413391, 0.2685338854789734]",0.05
I appreciate the amount of intellectual stimulation I receive in my daily life.,DeepSeek-V3.2,['Intellectual'],[0.6407515406608582],0.05
"Generally, I feel satisfied with my personal life and the amount of intellectual stimulation I receive in my daily life.",DeepSeek-V3.2,"['Occupational', 'Intellectual']","[0.5480454564094543, 0.5329527854919434]",0.05
I believe my life's journey should have a purpose.,DeepSeek-V3.2,"['Spiritual', 'Financial', 'Intellectual', 'Occupational']","[0.36063146591186523, 0.3553028404712677, 0.3388768136501312, 0.3156721293926239]",0.05
I enjoy writing.,DeepSeek-V3.2,['Intellectual'],[0.25152185559272766],0.05
I tend to be anxious and scared.,DeepSeek-V3.2,['Emotional'],[0.3455314636230469],0.05
I am unable to reach out and communicate with those around me.,DeepSeek-V3.2,['Social'],[0.2624581754207611],0.05
I try to stay positive and work through difficulties,DeepSeek-V3.2,"['Occupational', 'Financial']","[0.3671993315219879, 0.3333924114704132]",0.05
I work to achieve goals.,DeepSeek-V3.2,"['Occupational', 'Financial']","[0.40410134196281433, 0.3571385145187378]",0.05
I am very successful at work and have a stable income.,DeepSeek-V3.2,"['Financial', 'Occupational']","[0.37471500039100647, 0.32712942361831665]",0.05
I am good at managing responsibilities of daily life.,DeepSeek-V3.2,"['Occupational', 'Financial']","[0.3773152232170105, 0.3763054311275482]",0.05
I am lonely.,DeepSeek-V3.2,['Social'],[0.26960644125938416],0.05
I have a desire to have sex with someone.,DeepSeek-V3.2,"['Social', 'Emotional']","[0.18556326627731323, 0.15422171354293823]",0.05
I would do better if I could have a friend to talk to.,DeepSeek-V3.2,['Social'],[0.22407928109169006],0.05
Maintaining close relationships has been challenging and frustrating for me.,DeepSeek-V3.2,['Social'],[0.43217557668685913],0.05
I scream at friends after I tell them they can't talk to me.,DeepSeek-V3.2,"['Emotional', 'Social']","[0.17193546891212463, 0.17043951153755188]",0.05
I am healthy in my relationships and relationships can be difficult but I am strong and confident.,DeepSeek-V3.2,['Social'],[0.38951870799064636],0.05
I have been very frank about my shortcomings.,DeepSeek-V3.2,"['Social', 'Intellectual']","[0.21277101337909698, 0.20994944870471954]",0.05
Maintaining close relationships has been more rewarding than the last time.,DeepSeek-V3.2,['Social'],[0.40995413064956665],0.05
I don't know where my next big project will take me.,DeepSeek-V3.2,"['Intellectual', 'Financial']","[0.15667977929115295, 0.11836331337690353]",0.05
I have been dealing with depression and anxiety.,DeepSeek-V3.2,['Emotional'],[0.3204175531864166],0.05
I hope I have a friend who can help me when I feel stressed and need support.,DeepSeek-V3.2,['Emotional'],[0.2046518474817276],0.05
"I hope to have good health, good friends and good chances.",DeepSeek-V3.2,"['Financial', 'Social', 'Physical', 'Intellectual']","[0.27689775824546814, 0.272095263004303, 0.25483378767967224, 0.22837597131729126]",0.05
I am able to have a productive day without being stressed out by life's issues.,DeepSeek-V3.2,"['Occupational', 'Intellectual']","[0.3764166831970215, 0.3618634343147278]",0.05
I believe that I can still make the best choices for myself and my life.,DeepSeek-V3.2,"['Emotional', 'Financial', 'Social', 'Occupational']","[0.28808310627937317, 0.2735784351825714, 0.26663148403167725, 0.2388642132282257]",0.05
I am able to trust others when they tell me how to live my life.,DeepSeek-V3.2,['Social'],[0.4250846803188324],0.05
I believe that my own opinion matters more than other peoples.,DeepSeek-V3.2,"['Social', 'Emotional']","[0.2547696530818939, 0.22358602285385132]",0.05
"I feel anxious about my emotions, especially when they are related to work or relationships.",DeepSeek-V3.2,['Emotional'],[0.540475606918335],0.05
I have been happy with my current situation.,DeepSeek-V3.2,['Emotional'],[0.27487149834632874],0.05
My social relationships are superficial.,DeepSeek-V3.2,['Social'],[0.5209277868270874],0.05
"I have confidence in my social relationships, even if they are superficial.",DeepSeek-V3.2,['Social'],[0.5655604004859924],0.05
"I have many friends, but they are superficial.",DeepSeek-V3.2,['Social'],[0.3530787229537964],0.05
"My friends are helpful, and they are there for me when I need help.",DeepSeek-V3.2,['Social'],[0.2570938467979431],0.05
I have plenty of friends who will be there for me when I need help.,DeepSeek-V3.2,['Social'],[0.24623218178749084],0.05
I get help when I need it.,DeepSeek-V3.2,"['Financial', 'Intellectual', 'Physical']","[0.22385632991790771, 0.19187261164188385, 0.1856958121061325]",0.05
I have a good attitude about my life.,DeepSeek-V3.2,"['Social', 'Intellectual', 'Emotional']","[0.3120230734348297, 0.2711430490016937, 0.2673250436782837]",0.05
I have a high confidence in my own abilities.,DeepSeek-V3.2,"['Intellectual', 'Social']","[0.32153695821762085, 0.2851366698741913]",0.05
"I always say what I think, and people find this fact attractive.",DeepSeek-V3.2,['Social'],[0.2702854573726654],0.05
"I am a compassionate, open-minded individual who feels valued.",DeepSeek-V3.2,['Spiritual'],[0.36950019001960754],0.05
"I have a desire to achieve more, but sometimes find that I don't.",DeepSeek-V3.2,"['Intellectual', 'Occupational']","[0.38126081228256226, 0.34003162384033203]",0.05
"I am happy with my life in general, and enjoy socializing with friends.",DeepSeek-V3.2,['Social'],[0.5179757475852966],0.05
I often take a negative view of people.,DeepSeek-V3.2,"['Emotional', 'Social']","[0.3182324767112732, 0.2926638126373291]",0.05
I find things to be fun and rewarding.,DeepSeek-V3.2,['Intellectual'],[0.4544573128223419],0.05
I understand it is always a struggle to find a purpose in life.,DeepSeek-V3.2,"['Intellectual', 'Financial', 'Spiritual', 'Social']","[0.35716408491134644, 0.34770551323890686, 0.34746411442756653, 0.32170501351356506]",0.05
I can tolerate the unknown.,DeepSeek-V3.2,['Intellectual'],[0.2271149456501007],0.05
I can handle whatever comes my way.,DeepSeek-V3.2,"['Financial', 'Intellectual']","[0.24491652846336365, 0.198417067527771]",0.05
Stress causes me to be vulnerable in my life.,DeepSeek-V3.2,['Emotional'],[0.4164277911186218],0.05
My positive outlook is largely attributed to exercise.,DeepSeek-V3.2,"['Occupational', 'Emotional', 'Intellectual']","[0.3482529819011688, 0.31968581676483154, 0.31906619668006897]",0.05
I like to feel that everyone wants to be around me. Having to cope with stress can make me stronger.,DeepSeek-V3.2,"['Emotional', 'Social']","[0.35241618752479553, 0.33257338404655457]",0.05
Stress is in my life. Having to cope with stress can make me stronger.,DeepSeek-V3.2,['Emotional'],[0.31107112765312195],0.05
"I think I am worth pursuing, though I sometimes feel discouraged.",DeepSeek-V3.2,"['Intellectual', 'Occupational']","[0.27878254652023315, 0.2375842183828354]",0.05
I am aware that I sometimes feel like I am not important in my life.,DeepSeek-V3.2,"['Emotional', 'Intellectual', 'Social']","[0.3685758709907532, 0.3408840298652649, 0.3349396288394928]",0.05
I find it challenging to work for something that I love.,DeepSeek-V3.2,['Occupational'],[0.4008161127567291],0.05
I have no idea how long it will take me to get to sleep every night.,DeepSeek-V3.2,"['Physical', 'Emotional']","[0.0785147100687027, 0.05939097702503204]",0.05
I am usually tired when I get up in the morning and I usually remember to wear a pair of comfy jeans.,DeepSeek-V3.2,['Physical'],[0.16896915435791016],0.05
I am more calm and calmer than I used to be when it comes to getting a good night's sleep.,DeepSeek-V3.2,['Emotional'],[0.300963431596756],0.05
Having to deal with stress can make me strong.,DeepSeek-V3.2,['Emotional'],[0.3101048767566681],0.05
I don't like having my family take care of me.,DeepSeek-V3.2,"['Emotional', 'Financial', 'Social']","[0.20089712738990784, 0.1982923448085785, 0.16642750799655914]",0.05
I judge myself to be a happy person.,DeepSeek-V3.2,"['Emotional', 'Occupational']","[0.34076637029647827, 0.32960647344589233]",0.05
I feel unsure about my future.,DeepSeek-V3.2,"['Financial', 'Emotional', 'Intellectual']","[0.2684292197227478, 0.248825341463089, 0.22793619334697723]",0.05
I have no friends and no family for support.,DeepSeek-V3.2,"['Social', 'Financial']","[0.23377250134944916, 0.22706055641174316]",0.05
"When I had a problem with my mood, I tried and failed.",DeepSeek-V3.2,['Emotional'],[0.31976598501205444],0.05
I feel isolated from others.,DeepSeek-V3.2,['Social'],[0.38671448826789856],0.05
I am socially awkward.,DeepSeek-V3.2,['Social'],[0.42343640327453613],0.05
I am trying to do something positive in my life.,DeepSeek-V3.2,"['Intellectual', 'Social', 'Emotional', 'Financial', 'Occupational', 'Spiritual']","[0.3103390634059906, 0.30627521872520447, 0.2988198697566986, 0.2971237897872925, 0.2913874387741089, 0.29064249992370605]",0.05
I feel good about myself.,DeepSeek-V3.2,"['Emotional', 'Physical', 'Spiritual']","[0.3272417485713959, 0.2891886234283447, 0.2870720624923706]",0.05
There are times when I feel like the one in the crowd or at a movie theater.,DeepSeek-V3.2,"['Social', 'Emotional', 'Environmental']","[0.28225770592689514, 0.2807581126689911, 0.25024211406707764]",0.05
It has been difficult to make friends with many people.,DeepSeek-V3.2,['Social'],[0.49501654505729675],0.05
I have experienced many life changes and changes in my life.,DeepSeek-V3.2,['Emotional'],[0.4309382736682892],0.05
My body is strong.,DeepSeek-V3.2,['Physical'],[0.3547464907169342],0.05
I feel happy about my work.,DeepSeek-V3.2,['Occupational'],[0.4057048261165619],0.05
I feel happy.,DeepSeek-V3.2,['Emotional'],[0.3204938769340515],0.05
I feel unable to make friends because I am always alone,DeepSeek-V3.2,['Social'],[0.4030325412750244],0.05
I am experiencing some life-altering problems.,DeepSeek-V3.2,['Emotional'],[0.2929861843585968],0.05
"I am content doing so many things alone - Life is not very exciting for me, but it does not hold much hope.",DeepSeek-V3.2,"['Occupational', 'Intellectual', 'Emotional']","[0.3373500108718872, 0.3152461051940918, 0.3116786777973175]",0.05
I am happy doing so many things alone,DeepSeek-V3.2,"['Occupational', 'Emotional']","[0.3104514479637146, 0.2765740156173706]",0.05
I am lonely doing so much alone,DeepSeek-V3.2,"['Occupational', 'Financial', 'Social', 'Physical']","[0.23765955865383148, 0.21825842559337616, 0.21612897515296936, 0.19364486634731293]",0.05
I am satisfied with the amount of information I have been able to process so far.,DeepSeek-V3.2,"['Occupational', 'Financial']","[0.2707926034927368, 0.2507515549659729]",0.05
I am often sad.,DeepSeek-V3.2,['Emotional'],[0.3514648675918579],0.05
I always think of the future.,DeepSeek-V3.2,"['Financial', 'Emotional', 'Intellectual', 'Social', 'Spiritual']","[0.18352419137954712, 0.18263466656208038, 0.17610464990139008, 0.1439266949892044, 0.13471977412700653]",0.05
I live life one day at a time and think about the future a lot.,DeepSeek-V3.2,"['Emotional', 'Intellectual']","[0.2816064655780792, 0.2749983072280884]",0.05
I am confident in who I am.,DeepSeek-V3.2,"['Social', 'Intellectual']","[0.27570730447769165, 0.23677822947502136]",0.05
I get so many people to know me that the others often don't even know me well.,DeepSeek-V3.2,['Social'],[0.35414066910743713],0.05
I am confident that I am a good person.,DeepSeek-V3.2,['Social'],[0.3347631096839905],0.05
I would rank the past month's sleep quality overall as good overall.,DeepSeek-V3.2,"['Physical', 'Environmental', 'Social']","[0.1462446004152298, 0.1075638011097908, 0.10143596678972244]",0.05
"In general, I think most things happen for a reason.",DeepSeek-V3.2,['Emotional'],[0.27370908856391907],0.05
I think that most things happen for a reason.,DeepSeek-V3.2,"['Emotional', 'Social']","[0.2247215062379837, 0.17615976929664612]",0.05
I am stressed and feel out of balance.,DeepSeek-V3.2,['Emotional'],[0.2865760326385498],0.05
I expect to be physically healthy in the future.,DeepSeek-V3.2,['Physical'],[0.5280179977416992],0.05
I have an anxiety attack that affects my life.,DeepSeek-V3.2,['Emotional'],[0.3541596531867981],0.05
I am confident that I am in control of my life.,DeepSeek-V3.2,"['Emotional', 'Intellectual', 'Social', 'Financial']","[0.2646661102771759, 0.25940409302711487, 0.22990453243255615, 0.2252180576324463]",0.05
I have a strong sense of purpose in my life.,DeepSeek-V3.2,"['Intellectual', 'Spiritual']","[0.42598390579223633, 0.392627090215683]",0.05
I am able to communicate and express myself.,DeepSeek-V3.2,"['Spiritual', 'Emotional', 'Social', 'Occupational', 'Intellectual']","[0.3199934959411621, 0.3180449306964874, 0.3143136203289032, 0.307095468044281, 0.2914787530899048]",0.05
I am satisfied with my life.,DeepSeek-V3.2,['Occupational'],[0.469332754611969],0.05
I am resilient in the face of difficult situations.,DeepSeek-V3.2,['Emotional'],[0.309064120054245],0.05
I appreciate positive and positive people in my life.,DeepSeek-V3.2,['Social'],[0.36768195033073425],0.05
"I am confident that I can handle unpleasant or painful feelings like sadness, fear, and anger.",DeepSeek-V3.2,['Emotional'],[0.5417277812957764],0.05
I am very grateful for what I have and am satisfied with most parts of my life.,DeepSeek-V3.2,['Occupational'],[0.4343869984149933],0.05
I will always strive to do better in what I do.,DeepSeek-V3.2,"['Occupational', 'Intellectual']","[0.3656574487686157, 0.3257940411567688]",0.05
I am always optimistic about the things that keep me from feeling depressed.,DeepSeek-V3.2,['Emotional'],[0.38709762692451477],0.05
I am never too old to laugh.,DeepSeek-V3.2,"['Intellectual', 'Social', 'Emotional']","[0.1242290586233139, 0.08063697069883347, 0.07526795566082001]",0.05
Often I get in trouble for making my own decisions.,DeepSeek-V3.2,"['Emotional', 'Financial', 'Intellectual']","[0.2341405749320984, 0.22111330926418304, 0.21570493280887604]",0.05
I am feeling lonely and overwhelmed.,DeepSeek-V3.2,"['Occupational', 'Emotional', 'Financial', 'Social']","[0.2738806903362274, 0.27343735098838806, 0.23959437012672424, 0.23300763964653015]",0.05
"In the past, I rarely did anything to expect to go my way.",DeepSeek-V3.2,['Social'],[0.2206045240163803],0.05
I am able to deal with any challenges I encounter.,DeepSeek-V3.2,"['Intellectual', 'Emotional', 'Spiritual', 'Occupational']","[0.24322667717933655, 0.20807652175426483, 0.20554384589195251, 0.19453781843185425]",0.05
"I am a leader, I feel so confident, but I can't handle being so alone.",DeepSeek-V3.2,['Social'],[0.2760103642940521],0.05
I tend to overcome major life challenges with greater stability and peace.,DeepSeek-V3.2,"['Intellectual', 'Social', 'Emotional', 'Financial']","[0.3362092971801758, 0.3199007213115692, 0.31250518560409546, 0.29767104983329773]",0.05
I am very resilient.,DeepSeek-V3.2,"['Emotional', 'Intellectual', 'Social', 'Environmental', 'Financial']","[0.19259332120418549, 0.1856161206960678, 0.17510439455509186, 0.17144426703453064, 0.16369108855724335]",0.05
I am resilient and will be able to handle any challenge or stress in life.,DeepSeek-V3.2,"['Emotional', 'Intellectual']","[0.29062145948410034, 0.24892763793468475]",0.05
"I struggle to adjust to new situations, new people, and new environments.",DeepSeek-V3.2,"['Emotional', 'Environmental', 'Social']","[0.35622015595436096, 0.327381432056427, 0.3138461709022522]",0.05
I have always fought for what I believe in.,DeepSeek-V3.2,['Spiritual'],[0.28440603613853455],0.05
I am in control of my life.,DeepSeek-V3.2,"['Emotional', 'Financial']","[0.2787010073661804, 0.2514888346195221]",0.05
I find it hard to interact with those around me.,DeepSeek-V3.2,['Social'],[0.350943386554718],0.05
Sometimes I am unable to reach out and communicate with those around me,DeepSeek-V3.2,['Social'],[0.29595598578453064],0.05
I don't feel like myself.,DeepSeek-V3.2,['Emotional'],[0.30797430872917175],0.05
Sometimes I feel alone in my life.,DeepSeek-V3.2,['Emotional'],[0.4091276526451111],0.05
I feel happy that I can make it in the world.,DeepSeek-V3.2,"['Occupational', 'Emotional', 'Intellectual']","[0.277398943901062, 0.2637176811695099, 0.2593163847923279]",0.05
I feel a sense of responsibility about my future.,DeepSeek-V3.2,['Financial'],[0.39195066690444946],0.05
"When I try to achieve my goals, I may not accomplish what I would like to do.",DeepSeek-V3.2,"['Financial', 'Intellectual']","[0.307449072599411, 0.29245802760124207]",0.05
I believe my choices will be beneficial.,DeepSeek-V3.2,['Intellectual'],[0.26690760254859924],0.05
I'm hopeful that I'll accomplish my dreams.,DeepSeek-V3.2,['Intellectual'],[0.23960958421230316],0.05
I enjoy taking the time to think about the future.,DeepSeek-V3.2,['Intellectual'],[0.3007550835609436],0.05
I am optimistic in my future self.,DeepSeek-V3.2,"['Financial', 'Emotional', 'Intellectual', 'Occupational']","[0.271024227142334, 0.2614937126636505, 0.2522183656692505, 0.2264314889907837]",0.05
I focus on the present and can live life to the fullest without concern for the future.,DeepSeek-V3.2,"['Financial', 'Emotional', 'Intellectual']","[0.3470774292945862, 0.3247266411781311, 0.3146849274635315]",0.05
I have a single devoted boyfriend,DeepSeek-V3.2,"['Social', 'Financial']","[0.24274632334709167, 0.2276858538389206]",0.05
I am very content in my current relationship.,DeepSeek-V3.2,['Social'],[0.3674492835998535],0.05
I am happy being so withdrawn.,DeepSeek-V3.2,['Emotional'],[0.2389748990535736],0.05
I am not afraid of being disappointed.,DeepSeek-V3.2,"['Emotional', 'Intellectual']","[0.07948716729879379, 0.06364507228136063]",0.05
I am often influenced by others.,DeepSeek-V3.2,['Social'],[0.34716811776161194],0.05
I am not often discouraged by failure.,DeepSeek-V3.2,"['Occupational', 'Intellectual', 'Social', 'Financial', 'Emotional']","[0.23436078429222107, 0.22728535532951355, 0.21115204691886902, 0.20192408561706543, 0.193933367729187]",0.05
"I believe I need support from my family members and friends, but it is difficult for me to make friends.",DeepSeek-V3.2,['Social'],[0.34187227487564087],0.05
"I have had trouble staying awake while driving, eating meals, or engaging in social activity.",DeepSeek-V3.2,"['Physical', 'Intellectual', 'Occupational']","[0.20678475499153137, 0.19051119685173035, 0.18514546751976013]",0.05
"I am lonely. I cannot connect with my loved ones, and my life is often void of positive mental stimulation.",DeepSeek-V3.2,['Social'],[0.3780987858772278],0.05
I know it can be difficult to cope with failures.,DeepSeek-V3.2,"['Emotional', 'Social', 'Financial']","[0.2322622686624527, 0.22691603004932404, 0.191496804356575]",0.05
I am a strong and resilient person.,DeepSeek-V3.2,"['Social', 'Emotional', 'Intellectual', 'Spiritual']","[0.24035410583019257, 0.23200975358486176, 0.22658225893974304, 0.21446757018566132]",0.05
I can't communicate in an effective way,DeepSeek-V3.2,['Social'],[0.21123743057250977],0.05
I feel lonely and feel like I am always left alone in my daily life.,DeepSeek-V3.2,"['Social', 'Emotional', 'Occupational']","[0.28528892993927, 0.27974793314933777, 0.25464850664138794]",0.05
I have no friends or family close by.,DeepSeek-V3.2,['Social'],[0.3180151581764221],0.05
I am a successful person.,DeepSeek-V3.2,['Occupational'],[0.39732828736305237],0.05
I'm still finding my purpose and purpose in life.,DeepSeek-V3.2,"['Intellectual', 'Emotional', 'Occupational', 'Spiritual']","[0.33117762207984924, 0.3201504945755005, 0.30655208230018616, 0.3036825358867645]",0.05
I enjoy being a part of my community and socializing.,DeepSeek-V3.2,['Social'],[0.435199499130249],0.05
I sometimes think I have done enough.,DeepSeek-V3.2,"['Financial', 'Intellectual', 'Occupational']","[0.19768421351909637, 0.18135854601860046, 0.16467182338237762]",0.05
I sometimes think I have done all there is to do in life and I sometimes feel as if I've done all I can in life.,DeepSeek-V3.2,"['Occupational', 'Emotional']","[0.3508327305316925, 0.3359845280647278]",0.05
I sometimes feel like I am a failed person.,DeepSeek-V3.2,"['Emotional', 'Occupational', 'Social']","[0.2486242651939392, 0.22295808792114258, 0.20838618278503418]",0.05
I sometimes feel as if I have already done all there is to do in life.,DeepSeek-V3.2,"['Emotional', 'Intellectual', 'Occupational', 'Financial']","[0.3170170783996582, 0.31228429079055786, 0.30723580718040466, 0.2817068099975586]",0.05
I can handle my responsibilities.,DeepSeek-V3.2,['Financial'],[0.3697923421859741],0.05
I feel able to cope with change.,DeepSeek-V3.2,['Emotional'],[0.3311493694782257],0.05
I am able to handle my responsibilities.,DeepSeek-V3.2,"['Financial', 'Occupational']","[0.3584930896759033, 0.3196712136268616]",0.05
I have a feeling of direction in my life.,DeepSeek-V3.2,['Emotional'],[0.3276161849498749],0.05
I feel as if nobody understands me,DeepSeek-V3.2,"['Emotional', 'Intellectual', 'Spiritual', 'Social']","[0.23624449968338013, 0.2211209386587143, 0.21223585307598114, 0.21118289232254028]",0.05
I am able to understand the meaning of life.,Llama-4,['Spiritual'],[0.4923829436302185],0.05
I lead a meaningful and purposeful life.,Llama-4,['Spiritual'],[0.48499155044555664],0.05
I find that my mental health improves and that my life is meaningful.,Llama-4,['Spiritual'],[0.5070931315422058],0.05
I feel fulfilled in my life.,Llama-4,['Occupational'],[0.40382352471351624],0.05
I sometimes feel sad or depressed.,Llama-4,['Emotional'],[0.3443544805049896],0.05
"In general, I am not as mentally healthy as other people.",Llama-4,['Physical'],[0.4346857964992523],0.05
I always have been well with my physical health.,Llama-4,['Physical'],[0.5952614545822144],0.05
I have a good relationship with my parents.,Llama-4,"['Social', 'Financial']","[0.35075855255126953, 0.3450450003147125]",0.05
Sometimes I do not understand why people are attracted to me compared to other people.,Llama-4,['Social'],[0.3278411626815796],0.05
I am generally confident about my ability to help people.,Llama-4,"['Social', 'Intellectual', 'Financial', 'Emotional', 'Spiritual']","[0.33777374029159546, 0.3229380249977112, 0.31055715680122375, 0.3098357617855072, 0.29814350605010986]",0.05
It is important to me that I feel happy and confident in the sphere of my own life.,Llama-4,"['Spiritual', 'Intellectual', 'Physical', 'Emotional', 'Occupational']","[0.3865153193473816, 0.3794468641281128, 0.3780367374420166, 0.35262933373451233, 0.3468955159187317]",0.05
My social interaction does not interfere with my ability to feel and function well.,Llama-4,['Social'],[0.39830493927001953],0.05
My day is fairly balanced.,Llama-4,"['Spiritual', 'Physical', 'Occupational', 'Environmental']","[0.20744763314723969, 0.2018963098526001, 0.182732954621315, 0.16256512701511383]",0.05
I do not have any issues with focusing.,Llama-4,"['Physical', 'Intellectual', 'Occupational', 'Financial']","[0.13531583547592163, 0.11031920462846756, 0.10192227363586426, 0.08878267556428909]",0.05
The amount of information that I process in a typical day is just about right for me.,Llama-4,"['Intellectual', 'Occupational', 'Physical']","[0.25110819935798645, 0.24264603853225708, 0.23564556241035461]",0.05
I feel as if I've done everything there is to do in life.,Llama-4,['Occupational'],[0.3970102071762085],0.05
I sometimes feel as if I haven't accomplished much in my life.,Llama-4,['Occupational'],[0.3813329041004181],0.05
"When I am in need, my family is there for me.",Llama-4,"['Social', 'Occupational', 'Spiritual']","[0.3116408586502075, 0.27911123633384705, 0.2631697356700897]",0.05
I am usually happy to be with my family.,Llama-4,"['Financial', 'Social']","[0.31401848793029785, 0.2888898253440857]",0.05
I have not always had friends with whom I could share my joys and sorrows.,Llama-4,['Social'],[0.39846301078796387],0.05
I typically find intellectual challenges to be vital to my overall well-being.,Llama-4,['Intellectual'],[0.6071886420249939],0.05
"In the past, I usually find intellectual challenges to be vital to my overall well-being.",Llama-4,['Intellectual'],[0.6019484996795654],0.05
"In the past, I have found intellectual challenges to be vital to my overall well-being.",Llama-4,['Intellectual'],[0.5944635272026062],0.05
I have found intellectual challenges to be vital to my overall well-being.,Llama-4,['Intellectual'],[0.6029453277587891],0.05
I enjoy taking an intellectual challenge for a number of reasons and enjoy taking time to think about my own self and others.,Llama-4,['Intellectual'],[0.6033318042755127],0.05
I feel sad and lonely being alone,Llama-4,['Emotional'],[0.28002673387527466],0.05
"I feel tired, sleepless, and lonely.",Llama-4,"['Physical', 'Emotional', 'Spiritual']","[0.22609978914260864, 0.22059041261672974, 0.20197968184947968]",0.05
I try to achieve my goals.,Llama-4,"['Occupational', 'Intellectual']","[0.3693278431892395, 0.33346933126449585]",0.05
