qid,dataset,text,dimension_model,dimensions,scores,delta
UCLA_10,UCLA,I feel left out,DeepSeek-V3.2,"['Emotional', 'Physical', 'Social', 'Spiritual', 'Environmental', 'Intellectual']","[0.2401459515094757, 0.22166451811790466, 0.18825899064540863, 0.17394021153450012, 0.17293483018875122, 0.15928052365779877]",0.1
UCLA_11,UCLA,I feel completely alone,DeepSeek-V3.2,"['Emotional', 'Social']","[0.2997013032436371, 0.2178022265434265]",0.1
UCLA_12,UCLA,I am unable to reach out and communicate with those around me,DeepSeek-V3.2,['Social'],[0.2500324249267578],0.1
UCLA_13,UCLA,My social relationships are superficial,DeepSeek-V3.2,['Social'],[0.527376651763916],0.1
UCLA_14,UCLA,I feel starved for company,DeepSeek-V3.2,['Financial'],[0.29406026005744934],0.1
UCLA_15,UCLA,No one really knows me well,DeepSeek-V3.2,"['Social', 'Intellectual', 'Spiritual', 'Emotional']","[0.17634990811347961, 0.1513051986694336, 0.09958402067422867, 0.07707758247852325]",0.1
UCLA_16,UCLA,I feel isolated from others,DeepSeek-V3.2,"['Social', 'Emotional']","[0.39229583740234375, 0.3374843895435333]",0.1
UCLA_17,UCLA,I am unhappy being so withdrawn,DeepSeek-V3.2,"['Emotional', 'Occupational', 'Financial', 'Intellectual', 'Social']","[0.18838928639888763, 0.14817363023757935, 0.1193709522485733, 0.11803128570318222, 0.10028474777936935]",0.1
UCLA_18,UCLA,It is difficult for me to make friends,DeepSeek-V3.2,['Social'],[0.4132281541824341],0.1
UCLA_19,UCLA,I feel shut out and excluded by others,DeepSeek-V3.2,"['Social', 'Emotional', 'Environmental']","[0.3025971055030823, 0.2303554266691208, 0.2097305804491043]",0.1
UCLA_20,UCLA,People are around me but not with me,DeepSeek-V3.2,['Social'],[0.30995750427246094],0.1
